Condition Name,Trial,ID,Time (ms),Errors,Strength,Condition Type
Fitt's Law,1,0.46,1210,0,0.0,REGULAR
Fitt's Law,1,0.46,1210,0,0.0,REGULAR
Fitt's Law,2,0.38,1261,0,0.0,REGULAR
Fitt's Law,2,0.38,1261,0,0.0,REGULAR
Target Gravity: Low,1,0.43,1645,0,2.0,GRAVITY
Target Gravity: Low,1,0.43,1645,0,2.0,GRAVITY
Target Gravity: Low,2,0.47,1179,1,2.0,GRAVITY
Target Gravity: Low,2,0.47,1179,1,2.0,GRAVITY
Target Gravity: Medium,1,0.34,872,0,3.0,GRAVITY
Target Gravity: Medium,1,0.34,872,0,3.0,GRAVITY
Target Gravity: Medium,2,0.44,1933,1,3.0,GRAVITY
Target Gravity: Medium,2,0.44,1933,1,3.0,GRAVITY
